SiteName,Operator,starttime,timeofday,Value
BQE,nyccas,2025-04-20 02:00:00.000,02:00 AM,9.91
BQE,nyccas,2025-04-17 12:00:00.000,12:00 PM,3.33
BQE,nyccas,2025-04-20 07:00:00.000,07:00 AM,4.83
BQE,nyccas,2025-04-18 12:00:00.000,12:00 PM,4.67
BQE,nyccas,2025-04-18 14:00:00.000,02:00 PM,4.13
BQE,nyccas,2025-04-17 14:00:00.000,02:00 PM,4.19
BQE,nyccas,2025-04-21 17:00:00.000,05:00 PM,4.15
BQE,nyccas,2025-04-18 13:00:00.000,01:00 PM,3.97
BQE,nyccas,2025-04-18 23:00:00.000,11:00 PM,8.35
BQE,nyccas,2025-04-19 02:00:00.000,02:00 AM,9.57
BQE,nyccas,2025-04-18 10:00:00.000,10:00 AM,8.11
BQE,nyccas,2025-04-22 11:00:00.000,11:00 AM,10.12
BQE,nyccas,2025-04-19 06:00:00.000,06:00 AM,10.78
BQE,nyccas,2025-04-20 12:00:00.000,12:00 PM,3.03
BQE,nyccas,2025-04-20 11:00:00.000,11:00 AM,3.13
BQE,nyccas,2025-04-16 12:00:00.000,12:00 PM,2.76
BQE,nyccas,2025-04-18 19:00:00.000,07:00 PM,4.88
BQE,nyccas,2025-04-20 15:00:00.000,03:00 PM,3.12
BQE,nyccas,2025-04-20 14:00:00.000,02:00 PM,3.1
BQE,nyccas,2025-04-17 03:00:00.000,03:00 AM,3.01
BQE,nyccas,2025-04-18 21:00:00.000,09:00 PM,6.38
BQE,nyccas,2025-04-21 15:00:00.000,03:00 PM,4.27
BQE,nyccas,2025-04-21 04:00:00.000,04:00 AM,3.34
BQE,nyccas,2025-04-19 13:00:00.000,01:00 PM,11.1
BQE,nyccas,2025-04-20 00:00:00.000,12:00 AM,11.88
BQE,nyccas,2025-04-21 14:00:00.000,02:00 PM,4.16
BQE,nyccas,2025-04-19 00:00:00.000,12:00 AM,9.69
BQE,nyccas,2025-04-17 08:00:00.000,08:00 AM,3.44
BQE,nyccas,2025-04-19 14:00:00.000,02:00 PM,11.63
BQE,nyccas,2025-04-21 21:00:00.000,09:00 PM,4.58
BQE,nyccas,2025-04-22 16:00:00.000,04:00 PM,5.46
BQE,nyccas,2025-04-20 09:00:00.000,09:00 AM,3.12
BQE,nyccas,2025-04-19 19:00:00.000,07:00 PM,10.36
BQE,nyccas,2025-04-22 01:00:00.000,01:00 AM,5.15
BQE,nyccas,2025-04-19 01:00:00.000,01:00 AM,9.16
BQE,nyccas,2025-04-19 22:00:00.000,10:00 PM,10.86
BQE,nyccas,2025-04-22 17:00:00.000,05:00 PM,3.87
BQE,nyccas,2025-04-19 16:00:00.000,04:00 PM,10.81
BQE,nyccas,2025-04-20 16:00:00.000,04:00 PM,3.14
BQE,nyccas,2025-04-20 01:00:00.000,01:00 AM,11.71
BQE,nyccas,2025-04-22 21:00:00.000,09:00 PM,4.35
Broadway_35th_St,nyccas,2025-04-15 10:00:00.000,10:00 AM,13.62
BQE,nyccas,2025-04-20 22:00:00.000,10:00 PM,2.72
BQE,nyccas,2025-04-20 03:00:00.000,03:00 AM,5.82
BQE,nyccas,2025-04-18 01:00:00.000,01:00 AM,5.04
BQE,nyccas,2025-04-19 23:00:00.000,11:00 PM,11.17
BQE,nyccas,2025-04-20 23:00:00.000,11:00 PM,2.8
BQE,nyccas,2025-04-20 21:00:00.000,09:00 PM,3.35
Broadway_35th_St,nyccas,2025-04-15 09:00:00.000,09:00 AM,11.72
BQE,nyccas,2025-04-22 05:00:00.000,05:00 AM,8.37
Broadway_35th_St,nyccas,2025-04-15 15:00:00.000,03:00 PM,5.64
BQE,nyccas,2025-04-21 05:00:00.000,05:00 AM,3.2
Broadway_35th_St,nyccas,2025-04-15 18:00:00.000,06:00 PM,4.47
BQE,nyccas,2025-04-22 09:00:00.000,09:00 AM,13.95
Broadway_35th_St,nyccas,2025-04-15 23:00:00.000,11:00 PM,2.57
BQE,nyccas,2025-04-21 11:00:00.000,11:00 AM,4.1
Broadway_35th_St,nyccas,2025-04-16 02:00:00.000,02:00 AM,2.5
BQE,nyccas,2025-04-22 20:00:00.000,08:00 PM,3.79
Broadway_35th_St,nyccas,2025-04-16 04:00:00.000,04:00 AM,2.38
BQE,nyccas,2025-04-21 13:00:00.000,01:00 PM,4.11
BQE,nyccas,2025-04-20 05:00:00.000,05:00 AM,4.36
Broadway_35th_St,nyccas,2025-04-15 16:00:00.000,04:00 PM,5.44
Broadway_35th_St,nyccas,2025-04-16 08:00:00.000,08:00 AM,3.21
BQE,nyccas,2025-04-21 20:00:00.000,08:00 PM,4.47
BQE,nyccas,2025-04-20 10:00:00.000,10:00 AM,3.06
Broadway_35th_St,nyccas,2025-04-15 20:00:00.000,08:00 PM,4.06
Broadway_35th_St,nyccas,2025-04-16 13:00:00.000,01:00 PM,4.16
BQE,nyccas,2025-04-22 02:00:00.000,02:00 AM,5.74
BQE,nyccas,2025-04-21 03:00:00.000,03:00 AM,3.11
Broadway_35th_St,nyccas,2025-04-15 21:00:00.000,09:00 PM,3.46
BQE,nyccas,2025-04-21 10:00:00.000,10:00 AM,4.07
Broadway_35th_St,nyccas,2025-04-16 03:00:00.000,03:00 AM,2.54
BQE,nyccas,2025-04-18 04:00:00.000,04:00 AM,7.28
BQE,nyccas,2025-04-20 04:00:00.000,04:00 AM,4.4
BQE,nyccas,2025-04-21 16:00:00.000,04:00 PM,4.31
Broadway_35th_St,nyccas,2025-04-16 19:00:00.000,07:00 PM,3.61
BQE,nyccas,2025-04-18 22:00:00.000,10:00 PM,7.25
BQE,nyccas,2025-04-20 08:00:00.000,08:00 AM,3.59
BQE,nyccas,2025-04-21 19:00:00.000,07:00 PM,4.37
Broadway_35th_St,nyccas,2025-04-17 08:00:00.000,08:00 AM,3.67
BQE,nyccas,2025-04-19 04:00:00.000,04:00 AM,9.42
BQE,nyccas,2025-04-20 18:00:00.000,06:00 PM,3.31
BQE,nyccas,2025-04-22 00:00:00.000,12:00 AM,4.61
Broadway_35th_St,nyccas,2025-04-17 10:00:00.000,10:00 AM,3.71
BQE,nyccas,2025-04-19 08:00:00.000,08:00 AM,9.09
BQE,nyccas,2025-04-21 18:00:00.000,06:00 PM,4.22
BQE,nyccas,2025-04-22 06:00:00.000,06:00 AM,10.83
Broadway_35th_St,nyccas,2025-04-17 13:00:00.000,01:00 PM,5.14
BQE,nyccas,2025-04-19 10:00:00.000,10:00 AM,9.31
BQE,nyccas,2025-04-22 13:00:00.000,01:00 PM,7.04
Broadway_35th_St,nyccas,2025-04-16 11:00:00.000,11:00 AM,3.76
BQE,nyccas,2025-04-22 18:00:00.000,06:00 PM,3.73
Broadway_35th_St,nyccas,2025-04-17 21:00:00.000,09:00 PM,4.48
BQE,nyccas,2025-04-19 18:00:00.000,06:00 PM,9.87
Broadway_35th_St,nyccas,2025-04-16 01:00:00.000,01:00 AM,2.51
Broadway_35th_St,nyccas,2025-04-16 17:00:00.000,05:00 PM,3.73
BQE,nyccas,2025-04-22 07:00:00.000,07:00 AM,10.32
BQE,nyccas,2025-04-21 08:00:00.000,08:00 AM,4.16
Broadway_35th_St,nyccas,2025-04-16 23:00:00.000,11:00 PM,3.12
Broadway_35th_St,nyccas,2025-04-15 14:00:00.000,02:00 PM,6.19
Broadway_35th_St,nyccas,2025-04-18 01:00:00.000,01:00 AM,3.81
Broadway_35th_St,nyccas,2025-04-16 06:00:00.000,06:00 AM,2.73
Broadway_35th_St,nyccas,2025-04-16 22:00:00.000,10:00 PM,2.82
Broadway_35th_St,nyccas,2025-04-15 17:00:00.000,05:00 PM,4.72
Broadway_35th_St,nyccas,2025-04-18 04:00:00.000,04:00 AM,6.33
BQE,nyccas,2025-04-21 23:00:00.000,11:00 PM,5.21
Broadway_35th_St,nyccas,2025-04-17 03:00:00.000,03:00 AM,3.35
Broadway_35th_St,nyccas,2025-04-15 22:00:00.000,10:00 PM,2.79
Broadway_35th_St,nyccas,2025-04-18 06:00:00.000,06:00 AM,10.9
BQE,nyccas,2025-04-22 04:00:00.000,04:00 AM,6.95
Broadway_35th_St,nyccas,2025-04-16 07:00:00.000,07:00 AM,2.94
Broadway_35th_St,nyccas,2025-04-17 01:00:00.000,01:00 AM,3.26
BQE,nyccas,2025-04-22 15:00:00.000,03:00 PM,7.95
BQE,nyccas,2025-04-20 06:00:00.000,06:00 AM,4.43
Broadway_35th_St,nyccas,2025-04-16 10:00:00.000,10:00 AM,3.36
Broadway_35th_St,nyccas,2025-04-16 05:00:00.000,05:00 AM,2.25
Broadway_35th_St,nyccas,2025-04-17 15:00:00.000,03:00 PM,4.32
BQE,nyccas,2025-04-20 19:00:00.000,07:00 PM,3.63
Broadway_35th_St,nyccas,2025-04-16 12:00:00.000,12:00 PM,4.53
Broadway_35th_St,nyccas,2025-04-17 05:00:00.000,05:00 AM,3.78
Broadway_35th_St,nyccas,2025-04-18 05:00:00.000,05:00 AM,12.6
Broadway_35th_St,nyccas,2025-04-18 09:00:00.000,09:00 AM,12.46
Broadway_35th_St,nyccas,2025-04-16 18:00:00.000,06:00 PM,4.08
Broadway_35th_St,nyccas,2025-04-17 11:00:00.000,11:00 AM,3.79
Broadway_35th_St,nyccas,2025-04-15 08:00:00.000,08:00 AM,11.14
BQE,nyccas,2025-04-21 01:00:00.000,01:00 AM,3.4
