SiteName,Operator,starttime,timeofday,Value
BQE,nyccas,2025-08-07 19:00:00.000,07:00 PM,2.26
BQE,nyccas,2025-08-05 23:00:00.000,11:00 PM,16.24
BQE,nyccas,2025-08-05 03:00:00.000,03:00 AM,18.67
BQE,nyccas,2025-08-07 07:00:00.000,07:00 AM,19.5
BQE,nyccas,2025-08-03 04:00:00.000,04:00 AM,11.64
BQE,nyccas,2025-08-05 00:00:00.000,12:00 AM,17.49
BQE,nyccas,2025-08-04 12:00:00.000,12:00 PM,18.37
BQE,nyccas,2025-08-03 07:00:00.000,07:00 AM,7.41
BQE,nyccas,2025-08-06 06:00:00.000,06:00 AM,20.98
BQE,nyccas,2025-08-06 12:00:00.000,12:00 PM,30.08
BQE,nyccas,2025-08-05 05:00:00.000,05:00 AM,23.09
BQE,nyccas,2025-08-07 14:00:00.000,02:00 PM,8.56
BQE,nyccas,2025-08-05 02:00:00.000,02:00 AM,17.47
BQE,nyccas,2025-08-06 15:00:00.000,03:00 PM,4.38
BQE,nyccas,2025-08-05 09:00:00.000,09:00 AM,32.06
BQE,nyccas,2025-08-05 14:00:00.000,02:00 PM,26.5
BQE,nyccas,2025-08-08 02:00:00.000,02:00 AM,4.79
BQE,nyccas,2025-08-06 16:00:00.000,04:00 PM,4.97
BQE,nyccas,2025-08-08 16:00:00.000,04:00 PM,4.35
BQE,nyccas,2025-08-05 13:00:00.000,01:00 PM,32.55
BQE,nyccas,2025-08-07 00:00:00.000,12:00 AM,6.65
BQE,nyccas,2025-08-06 23:00:00.000,11:00 PM,5.06
BQE,nyccas,2025-08-03 22:00:00.000,10:00 PM,8.23
BQE,nyccas,2025-08-06 01:00:00.000,01:00 AM,15.4
BQE,nyccas,2025-08-08 03:00:00.000,03:00 AM,5.4
BQE,nyccas,2025-08-09 00:00:00.000,12:00 AM,5.59
BQE,nyccas,2025-08-05 01:00:00.000,01:00 AM,17.08
BQE,nyccas,2025-08-08 05:00:00.000,05:00 AM,5.57
BQE,nyccas,2025-08-07 06:00:00.000,06:00 AM,11.3
BQE,nyccas,2025-08-05 16:00:00.000,04:00 PM,26.96
BQE,nyccas,2025-08-08 08:00:00.000,08:00 AM,6.65
BQE,nyccas,2025-08-06 05:00:00.000,05:00 AM,19.07
BQE,nyccas,2025-08-07 15:00:00.000,03:00 PM,5.5
BQE,nyccas,2025-08-09 14:00:00.000,02:00 PM,8.68
BQE,nyccas,2025-08-08 10:00:00.000,10:00 AM,6.25
BQE,nyccas,2025-08-07 16:00:00.000,04:00 PM,4.82
Broadway_35th_St,nyccas,2025-08-01 14:00:00.000,02:00 PM,13.07
BQE,nyccas,2025-08-05 11:00:00.000,11:00 AM,34.63
BQE,nyccas,2025-08-08 18:00:00.000,06:00 PM,2.62
BQE,nyccas,2025-08-07 22:00:00.000,10:00 PM,3.96
BQE,nyccas,2025-08-08 14:00:00.000,02:00 PM,6.05
Broadway_35th_St,nyccas,2025-08-01 16:00:00.000,04:00 PM,16.65
BQE,nyccas,2025-08-04 16:00:00.000,04:00 PM,19.94
BQE,nyccas,2025-08-08 00:00:00.000,12:00 AM,4.41
BQE,nyccas,2025-08-05 19:00:00.000,07:00 PM,15.89
BQE,nyccas,2025-08-04 23:00:00.000,11:00 PM,17.92
BQE,nyccas,2025-08-05 15:00:00.000,03:00 PM,26.91
BQE,nyccas,2025-08-06 07:00:00.000,07:00 AM,23.3
BQE,nyccas,2025-08-08 23:00:00.000,11:00 PM,4.85
BQE,nyccas,2025-08-05 18:00:00.000,06:00 PM,17.33
BQE,nyccas,2025-08-08 06:00:00.000,06:00 AM,5.96
BQE,nyccas,2025-08-08 20:00:00.000,08:00 PM,4.88
BQE,nyccas,2025-08-09 06:00:00.000,06:00 AM,8.26
BQE,nyccas,2025-08-06 13:00:00.000,01:00 PM,22.02
Broadway_35th_St,nyccas,2025-08-01 23:00:00.000,11:00 PM,16.22
BQE,nyccas,2025-08-05 21:00:00.000,09:00 PM,16.48
BQE,nyccas,2025-08-09 13:00:00.000,01:00 PM,8.17
